name-year,pos,name,weight,height,Age,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,year,Player,Current_Sal,Next_Sal,min_sal_curr,min_sal_next,sal_cap_curr,sal_cap_next,height_ft
Stephen_Curry_2016,G,Stephen-Curry,185,6-2,28.0,79.0,79.0,33.4,0.468,4.1,0.411,10.0,4.1,0.898,4.6,0.8,4.5,6.6,1.8,0.2,3.0,25.3,30.1,0.624,2016,Stephen Curry,14.463090454160161,39.3449,875000.0,1313000.0,94143000.0,99093000.0,6.166666666666667
Kevin_Durant_2016,F-G,Kevin-Durant,240,6-10,28.0,62.0,62.0,33.4,0.537,1.9,0.375,5.0,5.4,0.875,6.2,0.6,8.3,4.8,1.1,1.6,2.2,25.1,27.8,0.651,2016,Kevin Durant,31.690925521812563,28.36073183776856,875000.0,1313000.0,94143000.0,99093000.0,6.833333333333333
Gordon_Hayward_2016,F-G,Gordon-Hayward,225,6-7,26.0,73.0,73.0,34.5,0.471,2.0,0.398,5.1,5.0,0.844,5.9,0.7,5.4,3.5,1.0,0.3,1.9,21.9,27.6,0.595,2016,Gordon Hayward,19.192568326482053,33.7242,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
Kyle_Lowry_2016,G,Kyle-Lowry,196,6-0,30.0,60.0,60.0,37.4,0.464,3.2,0.412,7.8,5.0,0.819,6.1,0.8,4.8,7.0,1.5,0.3,2.9,22.4,24.9,0.623,2016,Kyle Lowry,14.328925145788855,32.78920793048954,875000.0,1313000.0,94143000.0,99093000.0,6.0
Otto_Porter_2016,F,Otto-Porter,198,6-8,23.0,80.0,80.0,32.6,0.516,1.9,0.434,4.3,1.2,0.832,1.5,1.5,6.4,1.5,1.5,0.5,0.6,13.4,15.1,0.628,2016,Otto Porter,7.0378677133084775,28.1035,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
Jeff_Teague_2016,G,Jeff-Teague,195,6-3,28.0,82.0,82.0,32.4,0.442,1.1,0.357,3.1,4.4,0.867,5.1,0.4,4.0,7.8,1.2,0.4,2.6,15.3,22.1,0.574,2016,Jeff Teague,9.552616763859234,21.554156196704106,875000.0,1313000.0,94143000.0,99093000.0,6.25
Blake_Griffin_2016,F,Blake-Griffin,250,6-9,27.0,61.0,61.0,34.0,0.493,0.6,0.336,1.9,5.2,0.76,6.9,1.8,8.1,4.9,0.9,0.4,2.3,21.6,28.0,0.569,2016,Blake Griffin,23.992667500462062,33.48029770619519,875000.0,1313000.0,94143000.0,99093000.0,6.75
Andre_Iguodala_2016,G-F,Andre-Iguodala,215,6-6,33.0,76.0,0.0,26.3,0.528,0.8,0.362,2.3,0.9,0.706,1.3,0.7,4.0,3.4,1.0,0.5,0.8,7.6,11.2,0.624,2016,Andre Iguodala,13.29171157018578,16.806359817646047,875000.0,1313000.0,94143000.0,99093000.0,6.5
Danilo_Gallinari_2016,F,Danilo-Gallinari,233,6-10,28.0,63.0,63.0,33.9,0.447,2.0,0.389,5.1,5.5,0.902,6.1,0.6,5.2,2.1,0.6,0.2,1.3,18.2,20.0,0.622,2016,Danilo Gallinari,17.970860287010186,23.32341095724219,875000.0,1313000.0,94143000.0,99093000.0,6.833333333333333
Pau_Gasol_2016,C-F,Pau-Gasol,250,7-0,36.0,64.0,39.0,25.4,0.502,0.9,0.538,1.6,2.0,0.707,2.9,1.7,7.8,2.3,0.4,1.1,1.3,12.4,21.3,0.578,2016,Pau Gasol,18.50819497997727,18.15086837617188,875000.0,1313000.0,94143000.0,99093000.0,7.0
