Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,21,17,26.5,3.4,8.8,0.386,0.3,1.2,0.269,3.0,7.5,.405,.405,0.9,1.7,0.543,2.3,5.9,8.2,1.6,0.5,0.6,1.1,2.5,8.0
2,Steven Adams,C,28,MEM,29,29,24.9,2.6,4.9,0.535,0.0,0.0,0.0,2.6,4.9,.535,.535,1.8,2.9,0.619,3.9,4.9,8.8,2.6,0.9,0.6,1.8,1.7,7.0
3,Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,0.519,0.0,0.1,0.0,7.0,13.4,.521,.519,4.7,6.2,0.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
4,Santi Aldama,PF,21,MEM,16,0,9.8,1.5,4.1,0.364,0.2,1.7,0.111,1.3,2.4,.538,.386,0.4,0.8,0.583,1.0,1.6,2.6,0.8,0.1,0.2,0.3,1.1,3.6
5,LaMarcus Aldridge,C,36,BRK,25,8,23.6,6.0,10.4,0.573,0.4,1.2,0.367,5.5,9.2,.600,.594,1.6,1.9,0.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0
6,Nickeil Alexander-Walker,SG,23,NOP,30,18,28.2,5.0,13.8,0.366,2.0,6.6,0.31,3.0,7.2,.417,.439,1.4,1.9,0.732,1.0,2.9,3.9,2.6,1.0,0.4,1.5,1.9,13.5
7,Grayson Allen,SG,26,MIL,29,29,28.8,4.4,10.1,0.435,2.9,7.0,0.407,1.5,3.0,.500,.577,1.0,1.2,0.857,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.4,12.7
8,Jarrett Allen,C,23,CLE,27,27,32.7,6.9,9.7,0.703,0.0,0.2,0.167,6.8,9.5,.716,.705,3.1,4.4,0.714,3.3,7.7,11.0,2.0,0.9,1.4,2.0,1.9,16.9
9,Jose Alvarado,PG,23,NOP,8,0,5.1,0.6,1.6,0.385,0.3,0.6,0.4,0.4,1.0,.375,.462,0.3,0.4,0.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8
10,Kyle Anderson,PF,28,MEM,25,3,21.8,3.2,7.3,0.443,0.8,2.2,0.357,2.4,5.1,.480,.497,1.1,1.7,0.667,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.4,8.4
11,Giannis Antetokounmpo,PF,27,MIL,26,26,32.7,9.5,18.0,0.529,1.1,3.8,0.28,8.5,14.2,.596,.559,6.9,10.1,0.681,2.0,9.5,11.6,5.8,1.1,1.6,3.3,3.0,27.0
12,Thanasis Antetokounmpo,SF,29,MIL,22,5,12.8,1.5,3.0,0.478,0.0,0.3,0.0,1.5,2.8,.525,.478,0.6,0.9,0.65,1.0,2.0,3.1,0.8,0.5,0.2,0.6,1.7,3.5
13,Carmelo Anthony,PF,37,LAL,29,3,27.6,4.5,10.4,0.43,2.4,5.8,0.413,2.1,4.7,.452,.545,2.0,2.5,0.819,0.8,3.3,4.1,0.9,0.7,0.6,0.8,2.3,13.4
14,Cole Anthony,PG,21,ORL,23,23,34.1,6.9,16.5,0.417,2.8,7.6,0.366,4.1,8.9,.461,.501,3.3,3.8,0.875,0.6,5.5,6.1,5.6,0.8,0.2,3.0,2.5,19.9
15,OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,0.43,2.7,7.5,0.366,4.9,10.2,.477,.508,2.2,2.7,0.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
16,DJ Augustin,PG,34,HOU,24,2,14.3,1.5,3.4,0.451,1.1,2.4,0.456,0.5,1.0,.440,.610,0.8,0.9,0.909,0.1,1.0,1.1,2.5,0.3,0.0,1.3,0.7,5.0
17,Deni Avdija,SF,21,WAS,29,2,21.2,2.4,5.7,0.421,0.8,2.6,0.303,1.6,3.0,.523,.491,0.8,1.2,0.686,0.8,4.0,4.8,1.2,0.6,0.8,0.6,2.1,6.4
18,Joel Ayayi,SG,21,WAS,5,0,2.6,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0
19,Deandre Ayton,C,23,PHO,19,19,31.6,7.6,12.2,0.621,0.1,0.3,0.2,7.5,11.9,.630,.623,1.7,2.7,0.635,3.0,8.2,11.2,1.5,0.8,0.7,1.8,2.4,16.9
20,Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.000,1.000,0.0,0.0,0.766,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
21,Marvin Bagley III,PF,22,SAC,13,1,19.6,3.2,6.6,0.477,0.6,2.2,0.286,2.5,4.5,.569,.523,1.2,1.8,0.652,2.2,4.5,6.7,0.6,0.2,0.3,0.5,1.2,8.1
22,LaMelo Ball,PG,20,CHO,24,24,33.3,7.3,17.3,0.418,2.9,7.5,0.391,4.3,9.9,.439,.502,2.6,2.9,0.9,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0
23,Lonzo Ball,PG,24,CHI,27,27,35.5,4.6,11.2,0.413,3.1,7.3,0.421,1.6,3.9,.396,.550,0.4,0.6,0.706,1.0,4.5,5.5,4.9,1.7,1.0,2.5,2.3,12.8
24,Mo Bamba,C,23,ORL,27,27,28.7,4.2,9.1,0.457,1.3,4.0,0.324,2.9,5.1,.561,.528,0.7,0.9,0.72,2.3,6.3,8.6,1.7,0.7,2.2,1.4,2.6,10.3
25,Desmond Bane,SF,23,MEM,29,29,28.9,6.2,13.3,0.465,2.7,6.5,0.407,3.5,6.8,.520,.565,1.2,1.3,0.923,0.5,3.9,4.4,2.3,0.9,0.4,1.4,2.5,16.2
26,Dalano Banton,SF,22,TOR,27,0,12.7,1.6,3.6,0.458,0.2,0.7,0.3,1.4,2.8,.500,.490,0.7,0.9,0.75,0.7,1.7,2.3,1.8,0.4,0.2,1.0,1.4,4.1
27,Harrison Barnes,PF,29,SAC,24,24,33.3,5.3,11.6,0.459,1.8,4.7,0.381,3.5,6.9,.512,.536,5.0,5.9,0.845,1.3,5.3,6.6,2.4,0.9,0.1,1.9,1.3,17.5
28,Scottie Barnes,PF,20,TOR,26,26,36.2,6.2,12.8,0.488,0.8,2.2,0.368,5.4,10.6,.513,.520,2.2,3.0,0.727,3.0,5.3,8.3,3.3,1.1,1.0,1.9,2.8,15.4
29,RJ Barrett,SF,21,NYK,25,25,31.4,5.4,13.3,0.402,1.9,5.3,0.353,3.5,8.0,.435,.473,2.5,3.4,0.733,0.8,4.8,5.6,2.1,0.4,0.3,1.7,2.0,15.1
30,Will Barton,SG,31,DEN,24,24,33.3,6.2,14.0,0.443,2.5,6.5,0.382,3.7,7.5,.497,.533,1.1,1.5,0.743,0.6,4.4,5.0,4.2,0.9,0.4,1.8,1.4,16.0
