Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
preciousachiuwa,Precious Achiuwa,1,C,22,TOR,21,17,26.5,3.4,8.8,0.386,0.3,1.2,0.269,3.0,7.5,0.405,0.405,0.9,1.7,0.543,2.3,5.9,8.2,1.6,0.5,0.6,1.1,2.5,8.0,0.8095238095238095,0.7,702.25,64.0,8.086683674690212,2.71128
stevenadams,Steven Adams,2,C,28,MEM,29,29,24.9,2.6,4.9,0.535,0.0,0.0,0.0,2.6,4.9,0.535,0.535,1.8,2.9,0.619,3.9,4.9,8.8,2.6,0.9,0.6,1.8,1.7,7.0,1.0,0.9666666666666667,620.0099999999999,49.0,8.711485781214687,17.073171
bamadebayo,Bam Adebayo,3,C,24,MIA,18,18,32.9,7.0,13.5,0.519,0.0,0.1,0.0,7.0,13.4,0.521,0.519,4.7,6.2,0.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7,1.0,0.6,1082.4099999999999,349.69,19.186279951930388,28.10355
santialdama,Santi Aldama,4,PF,21,MEM,16,0,9.8,1.5,4.1,0.364,0.2,1.7,0.111,1.3,2.4,0.538,0.386,0.4,0.8,0.583,1.0,1.6,2.6,0.8,0.1,0.2,0.3,1.1,3.6,0.0,0.5333333333333333,96.04000000000002,12.96,4.213738402133769,1.99452
lamarcusaldridge,LaMarcus Aldridge,5,C,36,BRK,25,8,23.6,6.0,10.4,0.573,0.4,1.2,0.367,5.5,9.2,0.6,0.594,1.6,1.9,0.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0,0.32,0.8333333333333334,556.96,196.0,10.02200931280408,2.641691
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,NOP,30,18,28.2,5.0,13.8,0.366,2.0,6.6,0.31,3.0,7.2,0.417,0.439,1.4,1.9,0.732,1.0,2.9,3.9,2.6,1.0,0.4,1.5,1.9,13.5,0.6,1.0,795.24,182.25,13.024196332673991,3.26148
graysonallen,Grayson Allen,7,SG,26,MIL,29,29,28.8,4.4,10.1,0.435,2.9,7.0,0.407,1.5,3.0,0.5,0.577,1.0,1.2,0.857,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.4,12.7,1.0,0.9666666666666667,829.44,161.29,13.475294741406572,4.054695
jarrettallen,Jarrett Allen,8,C,23,CLE,27,27,32.7,6.9,9.7,0.703,0.0,0.2,0.167,6.8,9.5,0.716,0.705,3.1,4.4,0.714,3.3,7.7,11.0,2.0,0.9,1.4,2.0,1.9,16.9,1.0,0.9,1069.2900000000002,285.60999999999996,18.68637770617288,20.0
josealvarado,Jose Alvarado,9,PG,23,NOP,8,0,5.1,0.6,1.6,0.385,0.3,0.6,0.4,0.4,1.0,0.375,0.462,0.3,0.4,0.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8,0.0,0.26666666666666666,26.009999999999998,3.24,4.234766746506294,
kyleanderson,Kyle Anderson,10,PF,28,MEM,25,3,21.8,3.2,7.3,0.443,0.8,2.2,0.357,2.4,5.1,0.48,0.497,1.1,1.7,0.667,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.4,8.4,0.12,0.8333333333333334,475.24,70.56,6.8520281946463495,9.93715
