Player,Name,Salary
stephencurry,Stephen Curry,"$45,780,966"
jamesharden,James Harden,"$44,310,840"
johnwall,John Wall,"$44,310,840"
russellwestbrook,Russell Westbrook,"$44,211,146"
lebronjames,LeBron James,"$41,180,544"
kevindurant,Kevin Durant,"$40,918,900"
paulgeorge,Paul George,"$39,344,970"
kawhileonard,Kawhi Leonard,"$39,344,900"
giannisantetokounmpo,Giannis Antetokounmpo,"$39,344,900"
damianlillard,Damian Lillard,"$39,344,900"
klaythompson,Klay Thompson,"$37,980,720"
jimmybutler,Jimmy Butler,"$36,016,200"
tobiasharris,Tobias Harris,"$35,995,950"
khrismiddleton,Khris Middleton,"$35,500,000"
anthonydavis,Anthony Davis,"$35,361,360"
kyrieirving,Kyrie Irving,"$35,053,700"
kembawalker,Kemba Walker,"$34,967,442"
rudygobert,Rudy Gobert,"$34,844,000"
bradleybeal,Bradley Beal,"$33,724,200"
bensimmons,Ben Simmons,"$33,003,936"
pascalsiakam,Pascal Siakam,"$33,003,936"
jrueholiday,Jrue Holiday,"$32,431,333"
blakegriffin,Blake Griffin,"$32,405,817"
kristapsporzingis,Kristaps Porzingis,"$31,650,600"
karlanthonytowns,Karl-Anthony Towns,"$31,650,600"
devinbooker,Devin Booker,"$31,650,600"
nikolajokic,Nikola Jokic,"$31,579,390"
andrewwiggins,Andrew Wiggins,"$31,579,390"
joelembiid,Joel Embiid,"$31,579,390"
kevinlove,Kevin Love,"$31,258,256"
cjmccollum,CJ McCollum,"$30,864,198"
chrispaul,Chris Paul,"$30,800,000"
dangelorussell,D'Angelo Russell,"$30,013,500"
gordonhayward,Gordon Hayward,"$29,925,000"
jamalmurray,Jamal Murray,"$29,467,800"
brandoningram,Brandon Ingram,"$29,467,800"
jaysontatum,Jayson Tatum,"$28,103,500"
bamadebayo,Bam Adebayo,"$28,103,500"
deaaronfox,De'Aaron Fox,"$28,103,500"
donovanmitchell,Donovan Mitchell,"$28,103,500"
alhorford,Al Horford,"$27,000,000"
kylelowry,Kyle Lowry,"$26,984,128"
jaylenbrown,Jaylen Brown,"$26,758,928"
demarderozan,DeMar DeRozan,"$26,000,000"
draymondgreen,Draymond Green,"$24,026,712"
nikolavucevic,Nikola Vucevic,"$24,000,000"
buddyhield,Buddy Hield,"$23,073,234"
johncollins,John Collins,"$23,000,000"
juliusrandle,Julius Randle,"$21,780,000"
malcolmbrogdon,Malcolm Brogdon,"$21,700,000"
timhardawayjr,Tim Hardaway Jr,"$21,306,816"
mikeconley,Mike Conley,"$21,000,000"
