Player,Name,Salary
stephencurry,Stephen Curry,"$45,780,966"
johnwall,John Wall,"$44,310,840"
russellwestbrook,Russell Westbrook,"$44,211,146"
jamesharden,James Harden,"$43,848,000"
lebronjames,LeBron James,"$41,180,544"
kevindurant,Kevin Durant,"$40,918,900"
giannisantetokounmpo,Giannis Antetokounmpo,"$39,344,970"
paulgeorge,Paul George,"$39,344,970"
damianlillard,Damian Lillard,"$39,344,900"
kawhileonard,Kawhi Leonard,"$39,344,900"
klaythompson,Klay Thompson,"$37,980,720"
jimmybutler,Jimmy Butler,"$36,016,200"
tobiasharris,Tobias Harris,"$36,000,000"
khrismiddleton,Khris Middleton,"$35,500,000"
anthonydavis,Anthony Davis,"$35,361,360"
rudygobert,Rudy Gobert,"$35,344,828"
kyrieirving,Kyrie Irving,"$34,916,200"
bradleybeal,Bradley Beal,"$34,502,130"
kristapsporzingis,Kristaps Porziņģis,"$31,650,600"
devinbooker,Devin Booker,"$31,610,000"
player,Player,2021-22
karlanthonytowns,Karl-Anthony Towns,"$31,610,000"
bensimmons,Ben Simmons,"$31,590,000"
jamalmurray,Jamal Murray,"$31,590,000"
joelembiid,Joel Embiid,"$31,579,390"
andrewwiggins,Andrew Wiggins,"$31,579,390"
pascalsiakam,Pascal Siakam,"$31,320,000"
kevinlove,Kevin Love,"$31,300,000"
cjmccollum,CJ McCollum,"$30,864,198"
chrispaul,Chris Paul,"$30,800,000"
nikolajokic,Nikola Jokić,"$30,510,423"
jrueholiday,Jrue Holiday,"$30,133,333"
dangelorussell,D'Angelo Russell,"$30,013,500"
gordonhayward,Gordon Hayward,"$29,900,000"
blakegriffin,Blake Griffin,"$32,405,817"
brandoningram,Brandon Ingram,"$29,467,800"
deaaronfox,De'Aaron Fox,"$28,103,550"
bamadebayo,Bam Adebayo,"$28,103,550"
donovanmitchell,Donovan Mitchell,"$28,103,550"
jaysontatum,Jayson Tatum,"$28,103,550"
alhorford,Al Horford,"$27,000,000"
kylelowry,Kyle Lowry,"$26,984,128"
kembawalker,Kemba Walker,"$8,729,020"
demarderozan,DeMar DeRozan,"$26,000,000"
jaylenbrown,Jaylen Brown,"$24,830,357"
draymondgreen,Draymond Green,"$24,026,712"
nikolavucevic,Nikola Vučević,"$24,000,000"
johncollins,John Collins,"$23,000,000"
buddyhield,Buddy Hield,"$22,477,273"
malcolmbrogdon,Malcolm Brogdon,"$21,700,000"
timhardawayjr,Tim Hardaway Jr.,"$21,306,816"
mikeconley,Mike Conley,"$21,000,000"
garyharris,Gary Harris,"$20,482,143"
danilogallinari,Danilo Gallinari,"$20,475,000"
harrisonbarnes,Harrison Barnes,"$20,284,091"
jarrettallen,Jarrett Allen,"$20,000,000"
jeramigrant,Jerami Grant,"$20,000,000"
juliusrandle,Julius Randle,"$19,800,000"
fredvanvleet,Fred VanVleet,"$19,675,926"
zachlavine,Zach LaVine,"$19,500,000"
gorandragic,Goran Dragić,"$19,440,000"
bojanbogdanovic,Bojan Bogdanović,"$18,700,000"
lonzoball,Lonzo Ball,"$18,604,651"
domantassabonis,Domantas Sabonis,"$18,562,500"
ericgordon,Eric Gordon,"$18,218,818"
evanfournier,Evan Fournier,"$18,139,535"
ericbledsoe,Eric Bledsoe,"$18,125,000"
mylesturner,Myles Turner,"$18,000,000"
bogdanbogdanovic,Bogdan Bogdanović,"$18,000,000"
terryrozier,Terry Rozier,"$17,905,263"
rickyrubio,Ricky Rubio,"$17,809,524"
carislevert,Caris LeVert,"$17,500,000"
jonathanisaac,Jonathan Isaac,"$17,400,000"
joeharris,Joe Harris,"$17,357,143"
spencerdinwiddie,Spencer Dinwiddie,"$17,142,857"
clintcapela,Clint Capela,"$17,103,448"
stevenadams,Steven Adams,"$17,073,171"
markellefultz,Markelle Fultz,"$16,500,000"
aarongordon,Aaron Gordon,"$16,409,091"
oganunoby,OG Anunoby,"$16,071,429"
davisbertans,Dāvis Bertāns,"$16,000,000"
garytrentjr,Gary Trent Jr.,"$16,000,000"
laurimarkkanen,Lauri Markkanen,"$15,690,909"
marcusmorris,Marcus Morris,"$15,627,907"
duncanrobinson,Duncan Robinson,"$15,560,000"
normanpowell,Norman Powell,"$15,517,242"
dejountemurray,Dejounte Murray,"$15,428,571"
willbarton,Will Barton,"$15,384,615"
derrickwhite,Derrick White,"$15,178,571"
